,0,1,2
96,우당탕탕 어제오늘 워치,오후에 써야지 써야지 하다가외출한다고 까먹고 이제야 우당탕탕 쓰는 오늘의 워치가죽 스트랩 진짜 진짜 사놓고 만년만에 꺼내 써봤는데아 너무 빡빡한거 있죠 착용하다가 집어던졌어요    브라운 먼저 착용했다가 오늘 옷이랑은 블랙이 어울릴거 같아서 바로 블랙으로 교체하고 외출자세히 안보이는건 제 탓그리고 친구 백민희 너무 귀엽더라구여 ㅠㅠㅠㅠ미니 너무 가벼워 진짜 프로 들다가 미니 드니까신세계가 따로 없던데요처음으로 미니 유저분들 부러웠어요쓰는 와중에 토요일 지났네요 아 몰라,2021.08.08. 00:15
97,나이키 에서 티타늄 로 왔습니다,일단 티타늄 와ㅋ 미리 나이키 전용 페이스가 아쉬운거 말고는 오랜 고심끝에 넘어왔습니다밴드도 편하고 좋네요 아직 실리콘에 익숙한건 있지만요 옛날 나이키 지갑 생각도 살짝나고요ㅋ배터리도 주시워치로 보니 불편함도 없네요,2021.08.07. 22:53
98,늦은저녁 워치,ㅇㄹ표 스텐줄 하나 장만했어요 가격대비 너무 괜찮네요,2021.08.07. 22:48
99,토요일 워치입니다,요즘 러닝 열심히 하고 있는데 평균 페이스 줄어서 기념으로 같이 올려봅니다,2021.08.07. 22:27
100,직접 만든 반지랑 워치샷,오늘 년지기 친구들이랑 반지공방에 다녀왔어요ㅋㅋㅋㅋㅋㅋㅋ 각자 별명에 맞게 각인을 새겼는데 완전 귀엽 제일 오른쪽 찐빵이 제 별명입니다 시간 정도 걸렸는데 진짜 뿌듯하더라구요  오늘 착용한 스트랩은 슬림가죽 아이보리 색상이에요너무 맘에들어서 색깔별로 개나 모았는데 아이보리가 젤 무난해서 자주 착용합니당 완성한 반지랑 같이  악세서리를 잘 착용하지 않는데 앞으로 이 반지는 워치샷에 자주 등장할 예정이에요  페이스랑 이렇게 조합하니까 잘 어울리더라구요  안에 입은 나시랑 나름 아이보리 깔맞춤,2021.08.07. 22:22
101,나도 애플워치,짜잔,2021.08.07. 20:06
102,주말워치,아침부터 카페에서 꿀팁 알려주신 잔여백신 잡는법보고 광클 성공해서 엄마 화이자 맞춰 드리고 왔어요일주일 고생한거 생각한거에 비해 진짜 한방에 성공해서 넘 기쁘네요 오랜만에 해본 쿼카페이스도 귀엽고 ㅋ간호사분들 중에 워치한분 계시길래쿼카페이스 귀욥다궄ㅋㅋㅋ 구래서페이스 나눔도 해드리고 왔어옄ㅋㅋㅋ 페이스는 예전에 페북에서 공유 받은건데 좌표는 찾으니 없더라구요 메일주소 쪽지 남겨주시면 늦더라도 보내드리겠습니다잔여백신 잡는게 힘든데 어떻게 했냐고 신기하게 보더라구요 ㅋㅋㅋ저도 곧 맞아야 하는데ㅜㅜ 언제쯤 코로나에서 벗어날까요주말 잘보내세요,2021.08.07. 18:31
103,뿌또핑,뿌하제목과 같이 뿌또핑뿌시락 또 핑쿠입니다아어휴 핑크라면 사족을 못써새로운 스트랩이라고또 사버리고 말앗씁니다역시 핑쿠 대쫀예말해모해,2021.08.07. 17:04
104,드디어 도착하신 데저트샌드님,ㅎㅏ 제 손에 들어오기까지 오래오래 걸렸습니당역시 공식사진보다 밝고 예쁘고요 실내에선 조금 어두운 보라색밝은빛 아래서는 하얗게 빛나는 보라색입니둥초록빛은 자세히 봐야 언뜻언뜻 보여요보라색 스트랩 첫장만인데 마음에 들었습니다,2021.08.07. 15:48
105,선물용으로 구매했습니다,실버예쁘게 포장해주시네요,2021.08.07. 15:36
106,덥네요,오늘도 너무 덥네요,2021.08.07. 15:26
107,오늘의 워치노을,이번주 내내 야근하면서노을맛집 회사에서 노을과 함께한 오늘의 워치회사 동료가 그럴 시간에 집에 가라네요워치가 위로해주는 하루하루,2021.08.07. 14:43
108,저두 오늘의워치,영롱,2021.08.07. 14:29
109,오늘의 워치,영롱하네용,2021.08.07. 14:24
110,토요일의 워치,자주 올려서 죄송합니둥요즘 푹 빠져서오늘은 워치도 쨍날씨도 쨍이제 휴가인데 낼부터  때문에 계속 비인데ㅠ즐거운 주말 되세용,2021.08.07. 14:16
111,요즘 최애조합 ㅎ,사무실앞에서 한컷찍어봤어요 ㅎ요즘최애조합입니다느와르킹크로치전자담배제로네가사카이,2021.08.07. 13:55
112,오늘의워치,,2021.08.07. 13:51
113,레드에 어울리는 스포츠루프 추천해주세영,레드에 레드 줄 차고 있는데조금 질려서 다른 스포츠루프 찾아요 ㅠㅠ근데 레드라 사용하시는뷴들을 많이 못봐서레드 사용하시는데 스포츠루프차신다 하시는분들 댓으로 자랑좀 해쥬세용 ㅠㅠ,2021.08.07. 13:49
114,애플워치 긴급 정보공유 체크인 간편해졌어요,네이버 앱이 지원됨에따라 이젠 사파리로 매번 로그인하고나 그럴필요없이 앱등록해서 공식적으로 지원하는 큐알체크인쓰세요ㅋㅋ 자주는 챙피해서 못쓰겠지만 알고계신분들은 죄송합니다 네이버앱으로 지원이되니 단축어 이거저거 안하고 가끔로그인해야해서 불편했는데 새롭고 간편해짐에따라 자주이용해볼것같아요 ㅋㅋ 코드도 이전보다 훨커진거 같구뇽 이용방법은 네이버 다운후 워치앱에서 네이버 다운받으시고 모바일 네이버 로그아웃 로그인했어요 ㅎㅎ,2021.08.07. 13:27
115,오늘은 보라색입니다,폰도 애미시스트 케이스인데 사진을 찍을 수가 없네요 ㅠ,2021.08.07. 13:18
116,오늘의워치,너무 과한게 아닐까이상 오늘의워치 놀이였습니다해피한 주말 되세요,2021.08.07. 11:18
117,오늘의 워치,오늘의 워치,2021.08.07. 10:08
118,첨으로 올려봅니다 블랙,깔끔한게 좋네요,2021.08.07. 08:10
119,스트랩이 다 마음에 들어서 고민이네요,줄질 시작한지 얼마 안됐는데 너무 만족스러워서 앞으로 계속 지를거같아요 케이스랑 세트인 스트랩은 첫번째인데 두번째 스트랩이랑도 뭔가 고급스러운느낌으로 잘어울리네요  어떤걸로 해야할지 매일 행복한 고민할거같아요,2021.08.06. 22:52
120,체커,하지만 난 아스라다,2021.08.06. 20:51
121,어제의워치,어제워치인데 어제 너무정신없어서오늘의 워치로 합니당역시 페이스는 클락콜로지가 최고인듯 하네요회원님들 음식 조심하시구 더위조심하시구주말 잘보내세요,2021.08.06. 20:23
122,친 석양과 친 워치,연속 두번글 지송안올릴수가없는 하늘이쟈나미쳐쏘요 다들 좋은 저녁되세용,2021.08.06. 19:38
123,블링블링 워치,아사모에서 블링블링 시계뽐뿌받았는데 정보를 못 얻고 로디이건가 싶어서 주문했는데 좀 다른거같아요저 워치끼면서 알게된 사실인데제 손목이 바깥으로 좀 돌아가있나봐요화면보려면 화면이 좀 위쪽에 있는느낌이에요다들 그런가요,2021.08.06. 19:06
124,보라색 버클 솔로루프,오늘 올리는 워치는나일론 버클 스트랩 보라색정확히 뭐라구 불리는진 모르겠다요무튼이게 브레이드솔로루프랑 비슷한데버클로 줄길이 조절할수있어서 넘좋타니까여 예쁘지예쁘지예쁘지예쁘지예쁘지예쁘지저번에 보라색 브솔샀었는데사이즈가 넘커서 속상했는뎅요거 이뻐서 대만족 넘커요게 브솔이에용 비슷해보이는데 쪼꼼달라여얼마전에 산 울 아이패드 케이스님과도 깔맞츔 보라종 쎗뜨 완숑,2021.08.06. 18:21
125,안녕하세요 유쾌한놈입니다 오늘은 간단하게 오늘의워치정도만 소개해보려 합니다,제가 사용하는 워치는   실버 고 화이트 솔로루프 사이즈입니다 이하양이 너무이뿌용 ㅠㅠㅠ 하얀색 솔로루프는 일할때만 착용하려했으니 너무 맘에들어서 일안하는날도 ㅎㅎㅎㅎ,2021.08.06. 17:48
126,금금금금금금 시를 기다리는 워치,휴 드디어 금요일입니댜  배구 안 잊으셨죠 십니다 시 오늘도 진짜 저 밖에 나갔다 녹았잖아요아 그리고  워치 줄 오랜만에 바꿔봤잖아요 바꾸면 이렇게 예쁜데 저 워치 케이스 걸리적 거려서 빼고 필름 붙이려구요반대하시는 분 없네요근데 워치 찬 자리랑 팔이랑 색 다르지 않아요저만 그런거 아니잖아요 제발그리고 늦은 점심 겸 이른 저녁 재빠르게 먹고 집으로 피신다들 시까지 존버해서 같이 배구봐요 즐거운 금요일 보내시고 안전한 휴가 보내세요,2021.08.06. 17:10
127,오늘은 일병되는 날,일병되는 기념으로 오랜만에 밀레착용했어요,2021.08.06. 16:32
128,금요일 워치입니다,휴가 막바지에 시원한 카페로 아아 한 잔 하러 나왔어요쉬는 날 시간은 왜이리 빨리 흐르나요 ㅜㅜ,2021.08.06. 16:10
129,너무 좋아요,사기 전에는 사도 필요 없을거 같았는데너무너무 좋아요워치 사기전에 오늘의워치 게시판진짜 많이 구경 했어요 ㅋㅋㅋ살까 말까 고민 하지 말고 사세요 정말 만족 해요,2021.08.06. 16:06
130,오늘은 불금입니당,불끄고 자는 금요일 입다동색이 넘나 맘에 드는 실리콘 스트랩오늘은 페이스도 클락콜로지 안하궁ㅋㅋ 몬가 조신조신모드,2021.08.06. 16:06
131,파타고아,걍 갑자기 생각나서 해봤어요 캠핑다니는데 캠핑에 어울릴만한 느낌으로다가,2021.08.06. 15:36
132,워치 나토 스트랩 종 쎄뚜쎄뚜 ㅎ,워치 나토스트랩 종 쎄뚜쎄뚜최애국방색 기본네이비 개취주황 입니당ㅎ  원짜리 실리콘밴드나토스트랩 찾고 있었는데 가성비도 좋고 잘 산거 같아요 ㅎ일단 가볍고 이단 편하고 삼단 이쁘고 좋습니다ㅋㅋㅋ캠핑갈 때 차면 이쁠거같아요 ㅋㅋ 스트랩도 챙기는 캠핑갬성뭔가 모험해야할 느낌이네요 ㅎ,2021.08.06. 15:32
133,새로만든 페이스에 밀레니즈루프 착용,오늘도 힘찬 하루 보내세용,2021.08.06. 13:00
134,골댕이와 휴가보내기,오늘의 워치는 아니고 일주일치 워치입니다다들 휴가 잘 보내고 계신가요저는 오늘 휴가 마지막날이네요휴가 기간동안 찍은 골댕이 몇장 올려보겠습니다 잔디룩골댕이 영롱샷골댕이는 비스듬히 찍어줘야광각 샷스트랩이름 까먹음걍 블랙간만에 클락콜로지무더운 여름 코로나 피해서 휴가 잘 보내세요다른 횐님들 골댕이 사진도 보고싶습니다골댕이단 모이세요,2021.08.06. 11:00
135,일할 땐 스포츠뽼드,날씨가 녹아내려요 ㅠ 줄줄,2021.08.06. 10:58
136,처음올리는 오늘의 워치입니다,불량으로 교환 후 번째도 불량이지만 사용하다 리퍼 받으려고 합니다 오늘도 좋은 하루 되세요,2021.08.06. 10:11
137,오늘의,오늘은 블랙입니다,2021.08.06. 09:56
138,애플워치 입문 했습니다,뽐뿌는 몇 달 전부터 왔는데 월급받은 기념으로  나이키로 하나 샀습니다 몸은 큰데 손목은 정도로 얇아서 는 커보이더라구요 그래서 으로 했는데 딱 마음에 듭니다ㅎㅎㅁㅈ포인트 사용해서 ㅎㅇ마트에서 에 구입했는데 고장나는 일 없이 오래오래 썼으면 좋겠어요 다들 뽐뿌오시면 지르시길,2021.08.06. 09:22
139,오늘이 끝나갈 즈음 오늘의 워치 ㅎㅎ,오늘도 영롱한 우리의 애플워치랍니다,2021.08.05. 23:51
140,월 도전목표 순항중입니다,오늘 운동하면서 찍은 야경하루에 칼로리씩 소모하는데 확실히 쉽진 않네요 ㅋㅋ언제까지 유지할 수 있을지 모르겠습니다,2021.08.05. 23:32
141,야간러닝,야간 러닝 시작한지 얼마 안된 러린이입니당 ㅎㅎ뛰고 나면 개운하네요유튜브뮤직 워치단독재생 안되니 영 불편해요ㅠㅠ,2021.08.05. 23:13
142,가죽스트랩 뿌듯해요,이런 스타일 좋아하시는분 계신가요 저는 보자마자 고민도 안하고 샀네요오랜만에 줄질에 다시 워치에 애정이 가득해집니다ㅎㅎ,2021.08.05. 22:13
143,애플워치 일차,일차에 바로 신세계 가서 밀레 질렀습니다 ㅎㅎ줄하나 바꿨다고 느낌이 달라지네요,2021.08.05. 22:08
144,을 기다리며,사려다 에서 디자인 바뀐다고 해사존버중입니다 힘드네요 ㅋㅋ,2021.08.05. 22:07
145,싱글투어 스트랩 구매,옆동네 중고장터에서 미사용품 있길래 사봤습니다에르메스와 동일한 바레니아 가죽을 쓰고 동일한 스티치 썼다길래 사봤습니다확실히 가죽 질과 스티치 퀄이 높네요만원대에 샀는데 가성비가 굉장히 좋네요 ㅎ,2021.08.05. 21:52
146,깔끔하게 화이트 솔로루프,솔로루프가 생각보다 편해서또 사버렸오느릉 화이트 입미다ㅏ오늘은 필테복과 깔맞춤없이페이스 스트랩만 깔맞춤으루깔끔하니 넘 좋네요,2021.08.05. 21:42
147,워치 사용중이고 살 예정입니다,애플워치 나오면 팔고 살 예정인데그러면 때 끼던 줄도 그대로 유지가 가능한가요,2021.08.05. 21:04
148,주말까지 하루 남은 오늘의 워치,즐거운 목요일 보내고 계신가요전 하루종일 끌려다니다 이제 집 가요오늘의 워치는 처음 그대로 심플하게 워치 사면 매일매일 바꿔 찰 줄 알았죠 저는세상에  하루지나면 주말이네요  지금 휴가철인데 다들 즐겁게 보내세요악  내일 저녁 시 배구 잊지마시구요,2021.08.05. 18:01
149,엄청 덥네요,고무줄이 쩍쩍 붙네요 ㅡㅡ,2021.08.05. 17:23
150,스포츠루프 앵커그레이 단종 아니었나요,이번에 네이버에서 스포츠루프 검색하다보니 정품 판매하는 곳이 있길래 들어가봤는데 이미 단종된 걸로 아는 앵커그레이를 팔고 있더라구요그래서 해외에서 들어온 리셀러 상품인가보다 싶어서 구매했고 잘 받았는데 생산연도가 년 월이네요단종되고 한참 뒤로 알고 있는데 해외는 계속 생산되고 있던걸까요 의아하네요,2021.08.05. 15:39
151,오늘의 워치스그,스그 링케 베젤링 플럼,2021.08.05. 14:15
152,배터리 효율이 네요 반나절도 안가네요 ㅋㅋㅋ,애플워치 구매후 년정도됐는데 이제 배터리가 반나절도 못버틸정도로 훅훅다네요다들  몇퍼신가요,2021.08.05. 14:09
153,오늘의 페이스  명품페이스 창피ㅜ,어제 오메가 페이스 만들어서공유 했던 웃기지마라 입니다아무리 봐도 애플워치에에르메스 나이키 빼고다른 브랜드는 창피하네요ㅠ아재라 그런게 분명해 이게 어제 만든 오메가 페이스인데뭔가 창피해서애플로 수정 했습니다 아 맘이 편하네요ㅎㅎㅎ 이제ㅎ에르메스랑 나이키랑 돌려 써야지  둘려돌려 돌림워치앞으로 브랜드 페이스는안만들어야겠어요캐릭터 페이스 만들어야지,2021.08.05. 12:52
154,틀림없는 오늘의 워치,오늘의 워치는 스트랩도 페이스도 나잌키월 일 시 분에 찍은 오늘의 워치입니당틀림없는 오워 맞쮸 구박은 이제 그만,2021.08.05. 12:48
155,워치 스트랩 규격이 바뀔수도있겠죠,세대에 화면 모양이 바뀌던데 스트랩 규격도 바뀔수도있꼤죠링블사고 세대 밖에 못쓰면 좀 아까울것같아서 고민입니다 ㅋㅋ,2021.08.05. 10:47
